data_date,strike,ticker,asset,strike_date,option_type,bid,ask,ivm,volm,outs_int
2023-01-17,135,AAPL 2/17/23 P135,AAPL,2023-02-17,Put,4.75,4.850000381,34.36617661,3950,28065
2023-01-17,140,AAPL 2/17/23 P140,AAPL,2023-02-17,Put,7.25,7.350000381,32.5890007,660,25315
2023-01-17,145,AAPL 2/17/23 P145,AAPL,2023-02-17,Put,10.55000019,10.69999981,31.08125687,133,21833
2023-01-17,3980,^GSPC 2/17/23 P3980,^GSPC,2023-02-17,Put,72.6000061,73.19999695,17.98768425,34,493
2023-01-17,3985,^GSPC 2/17/23 P3985,^GSPC,2023-02-17,Put,74.69999695,75.19999695,17.91465759,107,478
2023-01-17,3990,^GSPC 2/17/23 P3990,^GSPC,2023-02-17,Put,76.69999695,77.30000305,17.83616447,91,604
2023-01-17,3995,^GSPC 2/17/23 P3995,^GSPC,2023-02-17,Put,78.80000305,79.40000916,17.75792885,474,437
2023-01-17,4000,^GSPC 2/17/23 P4000,^GSPC,2023-02-17,Put,81,81.69999695,17.70151901,13466,54846
2023-01-17,57.5,KO 2/17/23 P57.5,KO,2023-02-17,Put,0.310000002,0.319999993,24.02084541,123,5046
2023-01-17,60,KO 2/17/23 P60,KO,2023-02-17,Put,0.730000019,0.75999999,21.20659828,4430,19426
2023-01-17,62.5,KO 2/17/23 P62.5,KO,2023-02-17,Put,1.680000305,1.739999771,18.88779831,308,8874
2023-01-17,65,KO 2/17/23 P65,KO,2023-02-17,Put,3.400000572,3.599999428,18.15846825,9,1415
2023-01-17,67.5,KO 2/17/23 P67.5,KO,2023-02-17,Put,5.800000191,6.050000191,23.63151741,1,20
2023-01-17,2,BBBY 2/17/23 P2,BBBY,2023-02-17,Put,0.560000002,0.569999993,379.6681824,1921,10640
2023-01-17,3,BBBY 2/17/23 P3,BBBY,2023-02-17,Put,1.140000343,1.170000076,370.8856812,1280,22673
2023-01-17,4,BBBY 2/17/23 P4,BBBY,2023-02-17,Put,1.869999886,1.899999619,372.8549194,1502,4810
2023-01-17,5,BBBY 2/17/23 P5,BBBY,2023-02-17,Put,2.670000076,2.710000038,375.4880371,353,3760
2023-01-17,6,BBBY 2/17/23 P6,BBBY,2023-02-17,Put,3.5,3.600000381,379.9446411,39,2636
2023-02-17,145,AAPL 3/17/23 C145,AAPL,2023-03-17,Call,9.699999809,9.850000381,29.35483932,460,38464
2023-02-17,150,AAPL 3/17/23 C150,AAPL,2023-03-17,Call,6.150000572,6.25,27.47333717,2906,82677
2023-02-17,155,AAPL 3/17/23 C155,AAPL,2023-03-17,Call,3.400000572,3.449999809,25.78370667,11053,43556
2023-02-17,160,AAPL 3/17/23 C160,AAPL,2023-03-17,Call,1.569999695,1.579999924,24.27998543,6063,47648
2023-02-17,165,AAPL 3/17/23 C165,AAPL,2023-03-17,Call,0.610000014,0.620000005,23.43589211,7153,45371
2023-02-17,4070,^GSPC 3/17/23 C4070,^GSPC,2023-03-17,Call,89.40000916,90,17.99056244,130,480
2023-02-17,4075,^GSPC 3/17/23 C4075,^GSPC,2023-03-17,Call,86.3999939,86.90000916,17.8883152,147,810
2023-02-17,4080,^GSPC 3/17/23 C4080,^GSPC,2023-03-17,Call,83.40000916,84,17.7973671,46,195
